周 11（週送りの行がある周 1 / 配合の行がある周 1）
追いつき中: 1 周 / レースの段 平均 99.6% / 最大 99.6% / 全体 平均 112.6% / 最大 112.6%
追いつきの後: —
週送りの行が無い周（判定不能）: 10 周 / レースの段 平均 28.1% / 最大 117.4% / 全体 平均 28.9% / 最大 118.2%
失敗の行: 0 件
  cycle=10952 publishing 358.6s 99.6% 全体112.6% 週送り13週 配合1週 生まれた13
  cycle=10953 onSale 422.5s 117.4% 全体118.2% 週送り0週 配合0週 生まれた0
  cycle=10954 onSale 245.1s 68.1% 全体68.8% 週送り0週 配合0週 生まれた0
  cycle=10955 publishing 204.5s 56.8% 全体57.5% 週送り0週 配合0週 生まれた0
  cycle=10955 onSale 5.1s 1.4% 全体2.2% 週送り0週 配合0週 生まれた0
  cycle=10955 parade 4.6s 1.3% 全体2.1% 週送り0週 配合0週 生まれた0
  cycle=10956 settling 114s 31.7% 全体32.3% 週送り0週 配合0週 生まれた0
  cycle=10956 onSale 4.3s 1.2% 全体2% 週送り0週 配合0週 生まれた0
  cycle=10956 onSale 4.3s 1.2% 全体1.9% 週送り0週 配合0週 生まれた0
  cycle=10956 onSale 4.3s 1.2% 全体1.9% 週送り0週 配合0週 生まれた0
  cycle=10956 parade 4.2s 1.2% 全体1.9% 週送り0週 配合0週 生まれた0
